SUNo|GUNo|DenRatio|NLG|Slope|GL|A2
SU0014|GU0001|0.07|1.00|3.00|1.00|1282.29
SU0024|GU0016|0.05|1.00|3.00|1.00|1666.76
SU0025|GU0018|0.06|2.00|1.00|2.00|1572.53
SU0026|GU0018|0.13|2.00|1.00|2.00|758.40
SU0027|GU0019|0.12|1.00|4.00|1.00|776.71
SU0028|GU0020|0.19|1.00|4.00|1.00|512.79
SU0029|GU0020|0.28|2.00|4.00|2.00|353.92
SU0031|GU0023|0.32|1.00|3.00|1.00|310.32
SU0032|GU0316|0.03|1.00|5.00|1.00|2522.18
SU0041|GU0031|0.12|3.00|2.00|3.00|824.19
SU0344|GU0336|0.83|1.00|4.00|1.00|119.56
SU0395|GU9999|0.13|1.00|0.00|1.00|769.16
SU0618|GU0621|0.24|1.00|2.00|1.00|410.17
SU0619|GU0621|0.18|1.00|2.00|1.00|526.84
SU0620|GU0623|0.23|2.00|8.00|2.00|416.47
SU0624|GU0626|1.08|1.00|5.00|1.00|91.51
SU0639|GU0638|0.55|1.00|3.00|1.00|181.38
SU1002|GU1002|0.16|1.00|2.00|1.00|595.62
SU1003|GU1002|0.22|1.00|2.00|1.00|439.38
SU1006|GU1004|0.04|1.00|3.00|1.00|2372.81
SU1007|GU1005|0.09|2.00|1.00|2.00|1084.86
SU1015|GU1016|0.14|2.00|1.00|2.00|684.26
SU1026|GU1030|0.10|1.00|2.00|1.00|954.73
SU1067|GU1054|0.06|1.00|1.00|1.00|1581.78
SU1072|GU1058|0.18|1.00|2.00|1.00|544.44
SU1079|GU0073|0.16|1.00|10.00|1.00|610.93
SU1096|GU1076|0.25|1.00|8.00|1.00|390.46
SU1097|GU0063|0.10|5.00|2.00|5.00|954.03
SU1098|GU0063|0.12|3.00|2.00|3.00|830.73
SU1099|GU9999||2.00|0.00|2.00|
SU1302|GU1301|0.04|1.00|3.00|1.00|2168.31
SU1303|GU1301|0.05|2.00|3.00|2.00|1858.80
SU1305|GU1302|0.09|4.00|2.00|3.00|1384.03
SU1306|GU1302|0.15|4.00|2.00|1.00|2502.47
SU1307|GU1303|0.05|3.00|1.00|3.00|1827.22
SU1314|GU1309|0.09|3.00|3.00|3.00|1004.60
SU1315|GU1310|0.05|1.00|3.00|1.00|1982.44
SU1317|GU1010|0.36|2.00|1.00|1.00|552.62
SU1323|GU1314|0.05|1.00|2.00|1.00|1772.18
SU1325|GU1315|0.05|1.00|2.00|1.00|1946.71
SU1345|GU1323|0.04|1.00|4.00|1.00|2004.43
SU1351|GU1322|0.05|1.00|4.00|1.00|1946.72
SU1381|GU1365|0.12|1.00|9.00|1.00|786.47
SU1602|GU1601|0.09|5.00|3.00|4.00|1372.03
SU1605|GU1605|0.12|2.00|2.00|2.00|792.96
SU1611|GU1614|0.17|4.00|2.00|4.00|565.65
SU1620|GU1629|0.57|2.00|2.00|2.00|172.76
SU1621|GU1629|0.37|2.00|2.00|2.00|264.81
SU1622|GU1630|0.38|2.00|4.00|2.00|259.88
SU1623|GU1630|0.18|3.00|4.00|3.00|544.77
SU1625|GU1632|0.36|3.00|8.00|3.00|273.73
SU1630|GU1632|0.84|2.00|8.00|1.00|235.13
SU1647|GU1633|0.40|1.00|2.00|1.00|243.96
SU1648|GU1637|0.68|1.00|4.00|1.00|145.67
SU1652|GU1632|0.23|2.00|8.00|2.00|414.64
SU1653|GU1632|0.65|1.00|8.00|1.00|152.32
SU1654|GU1632|0.42|2.00|8.00|2.00|230.46
SU1657|GU1632|0.40|3.00|8.00|3.00|242.61
SU1664|GU1644|0.16|1.00|10.00|1.00|584.13
SU1666|GU1646|0.27|1.00|4.00|1.00|367.85
SU1676|GU1656|0.10|2.00|4.00|2.00|988.01
SU1677|GU1657|0.10|2.00|4.00|2.00|942.35
SU1694|GU1667|0.87|1.00|3.00|1.00|113.95
SU1698|GU1671|0.24|3.00|2.00|3.00|413.27
SU1699|GU1672|0.28|1.00|6.00|1.00|346.47
SU1701|GU1673|0.40|1.00|2.00|1.00|244.34
SU1702|GU1672|0.26|1.00|6.00|1.00|376.60
SU1909|GU1909|0.09|1.00|4.00|1.00|1010.98
SU1912|GU1912|0.10|1.00|2.00|1.00|912.25
SU1913|GU1913|0.06|1.00|1.00|1.00|1537.97
SU1914|GU1923|0.07|1.00|3.00|1.00|1332.14
SU1915|GU1916|0.06|1.00|3.00|1.00|1536.73
SU1917|GU1918|0.07|1.00|4.00|1.00|1319.82
SU2002|GU2002|0.22|1.00|3.00|1.00|435.71
SU2004|GU2004|0.10|1.00|3.00|1.00|992.72
SU2006|GU2103|0.30|12.00|5.00|12.00|327.13
SU2012|GU2102|0.14|9.00|12.00|7.00|891.07
SU2029|GU2029|0.25|1.00|0.00|1.00|394.63
SU2030|GU2031|0.16|1.00|1.00|1.00|590.56
SU2031|GU2032|0.12|3.00|1.00|3.00|805.99
SU2046|GU2049|0.14|1.00|1.00|1.00|672.43
SU2060|GU2061|0.15|2.00|1.00|2.00|648.56
SU2078|GU2033|0.10|3.00|1.00|3.00|948.14
SU2083|GU2082|0.33|12.00|8.00|9.00|397.33
SU2085|GU2085|0.09|3.00|10.00|3.00|1001.44
SU2104|GU2103|0.15|18.00|5.00|16.00|725.99
SU2162|GU2135|0.13|1.00|3.00|1.00|756.67
SU2174|GU2143|0.09|1.00|5.00|1.00|1016.81
